,Brand,Model
0,Tesla ,Model 3 Long Range Dual Motor
1,Volkswagen ,ID.3 Pure
2,Polestar ,2
3,BMW ,iX3 
4,Honda ,e 
5,Lucid ,Air 
6,Volkswagen ,e-Golf 
7,Peugeot ,e-208 
8,Tesla ,Model 3 Standard Range Plus
9,Audi ,Q4 e-tron 
10,Mercedes ,EQC 400 4MATIC
11,Nissan ,Leaf 
12,Hyundai ,Kona Electric 64 kWh
13,BMW ,i4 
14,Hyundai ,IONIQ Electric
15,Volkswagen ,ID.3 Pro S
16,Porsche ,Taycan Turbo S
17,Volkswagen ,e-Up! 
18,MG ,ZS EV
19,Mini ,Cooper SE 
20,Opel ,Corsa-e 
21,Tesla ,Model Y Long Range Dual Motor
22,Skoda ,Enyaq iV 50
23,Audi ,e-tron GT 
24,Tesla ,Model 3 Long Range Performance
25,Volkswagen ,ID.4 
26,Volkswagen ,ID.3 Pro
27,Volvo ,XC40 P8 AWD Recharge
28,BMW ,i3 120 Ah
29,Peugeot ,e-2008 SUV 
30,Audi ,e-tron 50 quattro
31,Kia ,e-Niro 64 kWh
32,Renault ,Zoe ZE50 R110
33,Tesla ,Cybertruck Tri Motor
34,Mazda ,MX-30 
35,Nissan ,Leaf e+
36,Lexus ,UX 300e
37,CUPRA ,el-Born 
38,Renault ,Zoe ZE50 R135
39,Mercedes ,EQA 
40,Tesla ,Model S Long Range
41,Hyundai ,Kona Electric 39 kWh
42,Audi ,e-tron Sportback 55 quattro
43,Skoda ,CITIGOe iV 
44,SEAT ,Mii Electric 
45,Kia ,e-Soul 64 kWh
46,Opel ,Ampera-e 
47,Porsche ,Taycan 4S
48,Lightyear ,One 
49,Aiways ,U5 
50,Audi ,e-tron 55 quattro
51,Tesla ,Roadster 
52,Opel ,Mokka-e 
53,Skoda ,Enyaq iV 80
54,Tesla ,Model X Long Range
55,Honda ,e Advance
56,DS ,3 Crossback E-Tense
58,Citroen ,e-C4 
59,Tesla ,Model S Performance
60,Renault ,Zoe ZE40 R110
61,Tesla ,Model Y Long Range Performance
62,Nissan ,Ariya 87kWh
63,Jaguar ,I-Pace 
64,Ford ,Mustang Mach-E ER RWD
65,Porsche ,Taycan 4S Plus
66,Nissan ,e-NV200 Evalia 
67,Tesla ,Cybertruck Dual Motor
69,Ford ,Mustang Mach-E ER AWD
70,BMW ,i3s 120 Ah
71,Skoda ,Enyaq iV 80X
72,Porsche ,Taycan Cross Turismo 
73,Byton ,M-Byte 95 kWh 4WD
74,Sono ,Sion 
75,Kia ,e-Niro 39 kWh
76,Audi ,Q4 Sportback e-tron 
78,Ford ,Mustang Mach-E SR AWD
79,Porsche ,Taycan Turbo
80,Volkswagen ,ID.3 1st
81,Tesla ,Model X Performance
83,Ford ,Mustang Mach-E SR RWD
84,Mercedes ,EQV 300 Long
85,Fiat ,500e Hatchback
86,Tesla ,Cybertruck Single Motor
87,Audi ,e-tron Sportback 50 quattro
88,Skoda ,Enyaq iV vRS
89,Skoda ,Enyaq iV 60
90,Audi ,e-tron S 55 quattro
92,Kia ,e-Soul 64 kWh
93,Nissan ,Ariya e-4ORCE 87kWh
94,Fiat ,500e Convertible
95,Volkswagen ,ID.3 Pro Performance
96,Kia ,e-Soul 39 kWh
97,Byton ,M-Byte 72 kWh 2WD
98,Nissan ,Ariya 63kWh
99,Audi ,e-tron S Sportback 55 quattro
100,Nissan ,Ariya e-4ORCE 63kWh
101,Nissan ,Ariya e-4ORCE 87kWh Performance
102,Byton ,M-Byte 95 kWh 2WD
