,Brand
0,Tesla 
1,Volkswagen 
2,Polestar 
3,BMW 
4,Honda 
5,Lucid 
6,Volkswagen 
7,Peugeot 
8,Tesla 
9,Audi 
10,Mercedes 
11,Nissan 
12,Hyundai 
13,BMW 
14,Hyundai 
15,Volkswagen 
16,Porsche 
17,Volkswagen 
18,MG 
19,Mini 
20,Opel 
21,Tesla 
22,Skoda 
23,Audi 
24,Tesla 
25,Volkswagen 
26,Volkswagen 
27,Volvo 
28,BMW 
29,Peugeot 
30,Audi 
31,Kia 
32,Renault 
33,Tesla 
34,Mazda 
35,Nissan 
36,Lexus 
37,CUPRA 
38,Renault 
39,Mercedes 
40,Tesla 
41,Hyundai 
42,Audi 
43,Skoda 
44,SEAT 
45,Kia 
46,Opel 
47,Porsche 
48,Lightyear 
49,Aiways 
50,Audi 
51,Tesla 
52,Opel 
53,Skoda 
54,Tesla 
55,Honda 
56,DS 
58,Citroen 
59,Tesla 
60,Renault 
61,Tesla 
62,Nissan 
63,Jaguar 
64,Ford 
65,Porsche 
66,Nissan 
67,Tesla 
69,Ford 
70,BMW 
71,Skoda 
72,Porsche 
73,Byton 
74,Sono 
75,Kia 
76,Audi 
78,Ford 
79,Porsche 
80,Volkswagen 
81,Tesla 
83,Ford 
84,Mercedes 
85,Fiat 
86,Tesla 
87,Audi 
88,Skoda 
89,Skoda 
90,Audi 
92,Kia 
93,Nissan 
94,Fiat 
95,Volkswagen 
96,Kia 
97,Byton 
98,Nissan 
99,Audi 
100,Nissan 
101,Nissan 
102,Byton 
